#               time       E_Anisotropy              E_DMI            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
             6.7e-10   4.7247717469e-18 -1.06030565633e-17  4.10634212739e-18  5.87842366447e-18  4.10648097542e-18  3.14640289132e-16 -1.57975484546e-17   -0.0127491895739  2.72182276717e-12      1678581389.02              12222                 67 
             6.8e-10  4.72822568559e-18 -1.06045419413e-17  4.10330738172e-18  5.87944968394e-18  4.10644080992e-18 -8.45311475138e-17 -1.08612964301e-17   -0.0133668174948  4.13047374082e-12      1678581389.77              12318                 68 
             6.9e-10  4.72992657977e-18 -1.06099168453e-17  4.10147383871e-18  5.88492391905e-18  4.10640749218e-18  1.10960623406e-16 -4.05443425746e-18   -0.0135915524195  4.20619095109e-12      1678581390.35              12415                 69 
               7e-10  4.73068839037e-18 -1.06167826043e-17  4.10029952947e-18  5.89217503712e-18  4.10638035267e-18 -5.34140632959e-17 -7.76385129026e-18   -0.0136513857162  3.45856676631e-12      1678581391.02              12512                 70 
             7.1e-10  4.73113782925e-18 -1.06228745521e-17  4.09941758851e-18  5.89867959783e-18  4.10636046351e-18 -3.11479237464e-17 -1.93200008461e-17   -0.0136921234174  3.17323944898e-12      1678581391.65              12609                 71 
             7.2e-10  4.73156328935e-18 -1.06267237986e-17  4.09870810447e-18  5.90280041367e-18  4.10634800889e-18 -6.55031584529e-17 -1.86694795426e-17   -0.0137502870274  1.53854706753e-12      1678581392.21              12706                 72 
             7.3e-10  4.73206729842e-18 -1.06277063707e-17  4.09814503597e-18  5.90383479109e-18  4.10634075481e-18  8.74609027177e-17 -2.26429600378e-17   -0.0138261291308  1.28186350423e-12      1678581392.97              12803                 73 
             7.4e-10   4.7326885759e-18 -1.06259292563e-17  4.09769034258e-18   5.9018856494e-18   4.1063353116e-18  1.10590549064e-16 -2.42629990173e-17   -0.0139346931385  6.03739280791e-13      1678581393.75              12899                 74 
             7.5e-10  4.73334919244e-18 -1.06221820104e-17  4.09734814691e-18  5.89781402692e-18  4.10632935588e-18  8.64894575711e-17 -1.11484895389e-17   -0.0140800567142  1.71729297449e-12      1678581394.31              12996                 75 
             7.6e-10  4.73377408758e-18 -1.06178002341e-17  4.09725379893e-18  5.89309458879e-18  4.10632224119e-18 -1.06612249892e-16 -1.60230625064e-17   -0.0142086323472  1.09445785768e-12      1678581395.04              13093                 76 
             7.7e-10   4.7335716578e-18   -1.061425273e-17  4.09763870178e-18  5.88935643549e-18  4.10631406503e-18 -1.34074849988e-16 -2.57182392666e-17   -0.0142183254306  1.72839520474e-12      1678581396.32              13190                 77 
             7.8e-10  4.73246084551e-18 -1.06125640394e-17  4.09867440362e-18  5.88773347195e-18  4.10630468171e-18  1.98128550603e-16 -1.96505620418e-17   -0.0140257864026  1.10600417713e-12       1678581396.9              13287                 78 
